# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T09:48:33.264253

wavelength[nm],intensity[nW]
1458.540039062,0.000000007
1458.579956055,0.000000020
1458.619995117,0.000000005
1458.660034180,0.000000008
1458.700073242,0.000000029
1458.739990234,0.000000023
1458.780029297,0.000000027
1458.819946289,0.000000039
1458.859985352,0.000000021
1458.900024414,0.000000009
1458.940063477,0.000000034
1458.979980469,0.000000047
1459.020019531,0.000000052
1459.059936523,0.000000019
1459.099975586,0.000000043
1459.140014648,0.000000034
1459.180053711,0.000000027
1459.219970703,0.000000037
1459.260009766,0.000000044
1459.300048828,0.000000033
1459.339965820,0.000000052
1459.380004883,0.000000049
1459.420043945,0.000000045
1459.459960938,0.000000049
1459.500000000,0.000000076
1459.540039062,0.000000053
1459.579956055,0.000000036
1459.619995117,0.000000057
1459.660034180,0.000000059
1459.699951172,0.000000049
1459.739990234,0.000000056
1459.780029297,0.000000061
1459.820068359,0.000000063
1459.859985352,0.000000056
1459.900024414,0.000000060
1459.939941406,0.000000087
1459.979980469,0.000000073
1460.020019531,0.000000080
1460.060058594,0.000000096
1460.099975586,0.000000076
1460.140014648,0.000000091
1460.179931641,0.000000110
1460.219970703,0.000000100
1460.260009766,0.000000109
1460.300048828,0.000000107
1460.339965820,0.000000118
1460.380004883,0.000000107
1460.419921875,0.000000123
1460.459960938,0.000000113
1460.500000000,0.000000120
1460.540039062,0.000000109
1460.580078125,0.000000122
1460.619995117,0.000000128
1460.660034180,0.000000139
1460.699951172,0.000000163
1460.739990234,0.000000127
1460.780029297,0.000000157
1460.820068359,0.000000156
1460.859985352,0.000000154
1460.900024414,0.000000178
1460.939941406,0.000000175
1460.979980469,0.000000166
1461.020019531,0.000000172
1461.060058594,0.000000162
1461.100097656,0.000000191
1461.140014648,0.000000179
1461.179931641,0.000000206
1461.219970703,0.000000204
1461.260009766,0.000000217
1461.300048828,0.000000218
1461.340087891,0.000000210
1461.380004883,0.000000196
1461.419921875,0.000000226
1461.459960938,0.000000235
1461.500000000,0.000000254
1461.540039062,0.000000226
1461.580078125,0.000000254
1461.619995117,0.000000274
1461.659912109,0.000000292
1461.699951172,0.000000262
1461.739990234,0.000000264
1461.780029297,0.000000277
1461.820068359,0.000000295
1461.860107422,0.000000301
1461.899902344,0.000000262
1461.939941406,0.000000274
1461.979980469,0.000000277
1462.020019531,0.000000294
1462.060058594,0.000000269
1462.100097656,0.000000294
1462.139892578,0.000000293
1462.179931641,0.000000309
1462.219970703,0.000000304
1462.260009766,0.000000295
1462.300048828,0.000000314
1462.340087891,0.000000319
1462.380004883,0.000000314
1462.419921875,0.000000329
1462.459960938,0.000000344
1462.500000000,0.000000375
1462.540039062,0.000000355
1462.580078125,0.000000352
1462.619995117,0.000000356
1462.659912109,0.000000356
1462.699951172,0.000000339
1462.739990234,0.000000387
1462.780029297,0.000000346
1462.820068359,0.000000389
1462.859985352,0.000000369
1462.899902344,0.000000382
1462.939941406,0.000000357
1462.979980469,0.000000359
1463.020019531,0.000000372
1463.060058594,0.000000360
1463.099975586,0.000000394
1463.140014648,0.000000387
1463.179931641,0.000000383
1463.219970703,0.000000399
1463.260009766,0.000000378
1463.300048828,0.000000380
1463.340087891,0.000000393
1463.380004883,0.000000391
1463.419921875,0.000000387
1463.459960938,0.000000398
1463.500000000,0.000000404
1463.540039062,0.000000418
1463.580078125,0.000000396
1463.619995117,0.000000375
1463.660034180,0.000000392
1463.699951172,0.000000399
1463.739990234,0.000000432
