# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T12:13:32.664207

wavelength[nm],intensity[nW]
1464.540039062,0.000000083
1464.579956055,0.000000116
1464.619995117,0.000000087
1464.660034180,0.000000091
1464.699951172,0.000000121
1464.739990234,0.000000100
1464.780029297,0.000000100
1464.819946289,0.000000105
1464.859985352,0.000000121
1464.900024414,0.000000149
1464.940063477,0.000000118
1464.979980469,0.000000125
1465.020019531,0.000000126
1465.059936523,0.000000134
1465.099975586,0.000000141
1465.140014648,0.000000178
1465.180053711,0.000000143
1465.219970703,0.000000187
1465.260009766,0.000000168
1465.300048828,0.000000154
1465.339965820,0.000000183
1465.380004883,0.000000147
1465.420043945,0.000000196
1465.459960938,0.000000176
1465.500000000,0.000000191
1465.540039062,0.000000177
1465.579956055,0.000000189
1465.619995117,0.000000223
1465.660034180,0.000000222
1465.700073242,0.000000226
1465.739990234,0.000000252
1465.780029297,0.000000250
1465.819946289,0.000000231
1465.859985352,0.000000225
1465.900024414,0.000000263
1465.940063477,0.000000243
1465.979980469,0.000000253
1466.020019531,0.000000294
1466.059936523,0.000000275
1466.099975586,0.000000254
1466.140014648,0.000000283
1466.180053711,0.000000282
1466.220092773,0.000000286
1466.260009766,0.000000313
1466.299926758,0.000000303
1466.339965820,0.000000317
1466.380004883,0.000000315
1466.420043945,0.000000314
1466.460083008,0.000000309
1466.500000000,0.000000326
1466.539916992,0.000000339
1466.579956055,0.000000342
1466.619995117,0.000000363
1466.660034180,0.000000380
1466.700073242,0.000000377
1466.739990234,0.000000371
1466.779907227,0.000000396
1466.819946289,0.000000410
1466.859985352,0.000000387
1466.900024414,0.000000423
1466.940063477,0.000000437
1466.980102539,0.000000405
1467.019897461,0.000000435
1467.059936523,0.000000432
1467.099975586,0.000000427
1467.140014648,0.000000456
1467.180053711,0.000000485
1467.220092773,0.000000462
1467.260009766,0.000000469
1467.299926758,0.000000501
1467.339965820,0.000000525
1467.380004883,0.000000529
1467.420043945,0.000000523
1467.460083008,0.000000532
1467.500000000,0.000000553
1467.539916992,0.000000581
1467.579956055,0.000000581
1467.619995117,0.000000554
1467.660034180,0.000000576
1467.700073242,0.000000600
1467.739990234,0.000000590
1467.779907227,0.000000608
1467.819946289,0.000000628
1467.859985352,0.000000632
1467.900024414,0.000000630
1467.940063477,0.000000656
1467.980102539,0.000000649
1468.019897461,0.000000681
1468.059936523,0.000000689
1468.099975586,0.000000720
1468.140014648,0.000000710
1468.180053711,0.000000708
1468.220092773,0.000000742
1468.260009766,0.000000741
1468.299926758,0.000000766
1468.339965820,0.000000774
1468.380004883,0.000000759
1468.420043945,0.000000795
1468.460083008,0.000000802
1468.500000000,0.000000815
1468.539916992,0.000000844
1468.579956055,0.000000859
1468.619995117,0.000000877
1468.660034180,0.000000889
1468.700073242,0.000000857
1468.739990234,0.000000905
1468.780029297,0.000000926
1468.819946289,0.000000923
1468.859985352,0.000000932
1468.900024414,0.000000948
1468.940063477,0.000000988
1468.979980469,0.000000970
1469.020019531,0.000000997
1469.059936523,0.000001024
1469.099975586,0.000001044
1469.140014648,0.000001042
1469.180053711,0.000001068
1469.219970703,0.000001078
1469.260009766,0.000001113
1469.299926758,0.000001128
1469.339965820,0.000001138
1469.380004883,0.000001143
1469.420043945,0.000001141
1469.459960938,0.000001163
1469.500000000,0.000001138
1469.540039062,0.000001156
1469.579956055,0.000001188
1469.619995117,0.000001174
1469.660034180,0.000001198
1469.699951172,0.000001245
1469.739990234,0.000001231
1469.780029297,0.000001269
1469.819946289,0.000001245
1469.859985352,0.000001322
1469.900024414,0.000001362
1469.940063477,0.000001390
1469.979980469,0.000001394
1470.020019531,0.000001415
1470.060058594,0.000001452
1470.099975586,0.000001463
1470.140014648,0.000001494
1470.180053711,0.000001493
1470.219970703,0.000001492
1470.260009766,0.000001542
1470.300048828,0.000001532
1470.339965820,0.000001565
1470.380004883,0.000001608
1470.420043945,0.000001603
1470.459960938,0.000001647
1470.500000000,0.000001654
1470.540039062,0.000001639
1470.579956055,0.000001633
1470.619995117,0.000001663
1470.660034180,0.000001673
1470.699951172,0.000001706
1470.739990234,0.000001718
1470.780029297,0.000001736
1470.820068359,0.000001756
1470.859985352,0.000001767
1470.900024414,0.000001790
1470.939941406,0.000001822
1470.979980469,0.000001839
1471.020019531,0.000001880
1471.060058594,0.000001925
1471.099975586,0.000001952
1471.140014648,0.000001971
1471.179931641,0.000002037
1471.219970703,0.000002063
1471.260009766,0.000002043
1471.300048828,0.000002096
1471.340087891,0.000002125
1471.380004883,0.000002151
1471.419921875,0.000002230
1471.459960938,0.000002223
1471.500000000,0.000002221
1471.540039062,0.000002259
1471.580078125,0.000002302
1471.619995117,0.000002317
1471.659912109,0.000002337
1471.699951172,0.000002377
1471.739990234,0.000002392
1471.780029297,0.000002416
1471.820068359,0.000002437
1471.859985352,0.000002473
1471.900024414,0.000002488
1471.939941406,0.000002506
1471.979980469,0.000002567
1472.020019531,0.000002571
1472.060058594,0.000002605
1472.100097656,0.000002635
1472.140014648,0.000002651
1472.179931641,0.000002632
1472.219970703,0.000002680
1472.260009766,0.000002677
1472.300048828,0.000002690
1472.340087891,0.000002757
1472.380004883,0.000002770
1472.419921875,0.000002799
1472.459960938,0.000002823
1472.500000000,0.000002877
1472.540039062,0.000002912
1472.580078125,0.000002977
1472.619995117,0.000003040
1472.659912109,0.000003047
1472.699951172,0.000003105
1472.739990234,0.000003132
1472.780029297,0.000003138
1472.820068359,0.000003173
1472.860107422,0.000003221
1472.899902344,0.000003281
1472.939941406,0.000003294
1472.979980469,0.000003301
1473.020019531,0.000003349
1473.060058594,0.000003357
1473.100097656,0.000003417
1473.139892578,0.000003463
1473.179931641,0.000003473
1473.219970703,0.000003510
1473.260009766,0.000003564
1473.300048828,0.000003586
1473.340087891,0.000003626
1473.380004883,0.000003668
1473.419921875,0.000003719
1473.459960938,0.000003748
1473.500000000,0.000003784
1473.540039062,0.000003819
1473.580078125,0.000003838
1473.619995117,0.000003852
1473.659912109,0.000003882
1473.699951172,0.000003943
1473.739990234,0.000003982
1473.780029297,0.000004016
1473.820068359,0.000004032
1473.859985352,0.000004077
1473.900024414,0.000004132
1473.939941406,0.000004167
1473.979980469,0.000004225
1474.020019531,0.000004277
1474.060058594,0.000004318
1474.099975586,0.000004346
1474.140014648,0.000004388
1474.179931641,0.000004428
1474.219970703,0.000004472
1474.260009766,0.000004511
1474.300048828,0.000004555
1474.339965820,0.000004580
1474.380004883,0.000004637
1474.419921875,0.000004695
1474.459960938,0.000004755
1474.500000000,0.000004757
1474.540039062,0.000004821
1474.580078125,0.000004857
1474.619995117,0.000004925
1474.660034180,0.000004949
1474.699951172,0.000004973
1474.739990234,0.000005020
1474.780029297,0.000005082
1474.820068359,0.000005105
1474.859985352,0.000005164
1474.900024414,0.000005206
1474.939941406,0.000005243
1474.979980469,0.000005324
1475.020019531,0.000005320
1475.060058594,0.000005394
1475.099975586,0.000005446
1475.140014648,0.000005485
1475.180053711,0.000005520
1475.219970703,0.000005564
1475.260009766,0.000005621
1475.300048828,0.000005650
1475.339965820,0.000005689
1475.380004883,0.000005733
1475.420043945,0.000005792
1475.459960938,0.000005840
1475.500000000,0.000005875
1475.540039062,0.000005944
1475.579956055,0.000005959
1475.619995117,0.000005990
1475.660034180,0.000006023
1475.699951172,0.000006050
1475.739990234,0.000006109
1475.780029297,0.000006144
1475.819946289,0.000006180
1475.859985352,0.000006239
1475.900024414,0.000006294
1475.940063477,0.000006351
1475.979980469,0.000006385
1476.020019531,0.000006421
1476.059936523,0.000006519
1476.099975586,0.000006581
1476.140014648,0.000006618
1476.180053711,0.000006663
1476.219970703,0.000006737
1476.260009766,0.000006793
1476.299926758,0.000006857
1476.339965820,0.000006898
1476.380004883,0.000006932
1476.420043945,0.000007022
1476.460083008,0.000007068
1476.500000000,0.000007120
1476.540039062,0.000007152
1476.579956055,0.000007221
1476.619995117,0.000007253
1476.660034180,0.000007304
1476.700073242,0.000007350
1476.739990234,0.000007392
1476.780029297,0.000007468
1476.819946289,0.000007497
1476.859985352,0.000007507
1476.900024414,0.000007556
1476.940063477,0.000007570
1476.979980469,0.000007648
1477.020019531,0.000007659
1477.059936523,0.000007705
1477.099975586,0.000007784
1477.140014648,0.000007799
1477.180053711,0.000007898
1477.220092773,0.000007955
1477.260009766,0.000007968
1477.299926758,0.000008087
1477.339965820,0.000008151
1477.380004883,0.000008230
1477.420043945,0.000008297
1477.460083008,0.000008348
1477.500000000,0.000008402
1477.539916992,0.000008471
1477.579956055,0.000008521
1477.619995117,0.000008531
1477.660034180,0.000008508
1477.700073242,0.000008491
1477.740112305,0.000008531
1477.779907227,0.000008565
1477.819946289,0.000008612
1477.859985352,0.000008683
1477.900024414,0.000008732
1477.940063477,0.000008750
1477.980102539,0.000008796
1478.019897461,0.000008870
1478.059936523,0.000008937
1478.099975586,0.000009032
1478.140014648,0.000009143
1478.180053711,0.000009211
1478.220092773,0.000009254
1478.259887695,0.000009334
1478.299926758,0.000009370
1478.339965820,0.000009438
1478.380004883,0.000009507
1478.420043945,0.000009581
1478.460083008,0.000009647
1478.500000000,0.000009714
1478.539916992,0.000009768
1478.579956055,0.000009797
1478.619995117,0.000009862
1478.660034180,0.000009936
1478.700073242,0.000009944
1478.739990234,0.000010002
1478.779907227,0.000010068
1478.819946289,0.000010105
1478.859985352,0.000010154
1478.900024414,0.000010199
1478.940063477,0.000010235
1478.979980469,0.000010290
1479.020019531,0.000010366
1479.059936523,0.000010400
1479.099975586,0.000010396
1479.140014648,0.000010486
1479.180053711,0.000010514
1479.220092773,0.000010563
1479.260009766,0.000010596
1479.299926758,0.000010632
1479.339965820,0.000010677
1479.380004883,0.000010679
1479.420043945,0.000010706
1479.460083008,0.000010763
1479.500000000,0.000010792
1479.539916992,0.000010855
1479.579956055,0.000010889
1479.619995117,0.000010952
1479.660034180,0.000011016
1479.700073242,0.000011056
1479.739990234,0.000011105
1479.780029297,0.000011198
1479.819946289,0.000011294
1479.859985352,0.000011352
1479.900024414,0.000011408
1479.940063477,0.000011452
1479.979980469,0.000011481
1480.020019531,0.000011500
1480.059936523,0.000011536
1480.099975586,0.000011554
1480.140014648,0.000011606
1480.180053711,0.000011604
1480.219970703,0.000011556
1480.260009766,0.000011538
1480.300048828,0.000011564
1480.339965820,0.000011601
1480.380004883,0.000011616
1480.420043945,0.000011638
1480.459960938,0.000011701
1480.500000000,0.000011687
1480.540039062,0.000011693
1480.579956055,0.000011735
1480.619995117,0.000011853
1480.660034180,0.000011970
1480.699951172,0.000012062
1480.739990234,0.000012125
1480.780029297,0.000012190
1480.819946289,0.000012227
1480.859985352,0.000012262
1480.900024414,0.000012350
1480.939941406,0.000012399
1480.979980469,0.000012502
1481.020019531,0.000012534
1481.060058594,0.000012568
1481.099975586,0.000012581
1481.140014648,0.000012587
1481.180053711,0.000012621
1481.219970703,0.000012660
1481.260009766,0.000012680
1481.300048828,0.000012690
1481.339965820,0.000012699
1481.380004883,0.000012728
1481.420043945,0.000012763
1481.459960938,0.000012776
1481.500000000,0.000012786
1481.540039062,0.000012720
1481.579956055,0.000012660
1481.619995117,0.000012653
1481.660034180,0.000012650
1481.699951172,0.000012670
1481.739990234,0.000012724
1481.780029297,0.000012726
1481.820068359,0.000012785
1481.859985352,0.000012813
1481.900024414,0.000012847
1481.939941406,0.000012904
1481.979980469,0.000013028
1482.020019531,0.000013112
1482.060058594,0.000013144
1482.099975586,0.000013162
1482.140014648,0.000013187
1482.179931641,0.000013196
1482.219970703,0.000013232
1482.260009766,0.000013228
1482.300048828,0.000013250
1482.340087891,0.000013279
1482.380004883,0.000013252
1482.419921875,0.000013289
1482.459960938,0.000013286
1482.500000000,0.000013314
1482.540039062,0.000013329
1482.580078125,0.000013315
